"类型","家族ID","阶段","名称","当前弹速","除以2.5目标","弹道类型","特殊标记"
"副武器","goldflyBlade","2","黄金撒旦之力","60","24","bullet",""
"副武器","shilongren","1","噬龙刃","75","30","bullet","追踪"
"副武器","darklizhi","1","暗黑荔枝","60","24","bullet","追踪、回旋"
"副武器","banger","2","鞭炮II","20","8","bullet",""
"副武器","banger","3","鞭炮2016","20","8","bullet",""
"副武器","banger","4","鞭炮2017","20","8","bullet",""
"副武器","darkpower","1","黯灭","60","24","bullet",""
"副武器","darkpower","2","湮灭","60","24","bullet",""
"副武器","darkpower","3","泯灭","60","24","bullet",""
"副武器","tesilapao","1","火花MK1","50","20","bullet","追踪"
"副武器","tesilapao","2","火花MK2","50","20","bullet","追踪"
"副武器","tesilapao","3","火花MK3","50","20","bullet","追踪"
"副武器","tesilapao","4","火花MK4","50","20","bullet","追踪"
"副武器","tesilapao","5","火花MK5","50","20","bullet","追踪"
"副武器","tianjidiancipao","1","上帝之杖MK1","50","20","bullet",""
"副武器","tianjidiancipao","2","上帝之杖MK2","50","20","bullet",""
"副武器","tianjidiancipao","3","上帝之杖MK3","50","20","bullet",""
"副武器","tianjidiancipao","4","上帝之杖MK4","50","20","bullet",""
"副武器","tianjidiancipao","5","上帝之杖MK5","50","20","bullet",""
"副武器","电弧炮","1","彼岸MK1","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","电弧炮","2","彼岸MK2","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","电弧炮","3","彼岸MK3","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","电弧炮","4","彼岸MK4","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","涡轮激光炮","1","月行者MK1","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","涡轮激光炮","2","月行者MK2","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","涡轮激光炮","3","月行者MK3","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","涡轮激光炮","4","月行者MK4","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","Highfrequency","1","灰狐MK1","50","20","bullet","追踪、回旋"
"副武器","Highfrequency","2","灰狐MK2","50","20","bullet","追踪、回旋"
"副武器","Highfrequency","3","灰狐MK3","50","20","bullet","追踪、回旋"
"副武器","Highfrequency","4","灰狐MK4","50","20","bullet","追踪、回旋"
"副武器","Highfrequency","5","灰狐MK5","50","20","bullet","追踪、回旋"
"副武器","Fireweapon","1","赤红烈焰","50","20","bullet","追踪、回旋"
"副武器","Boomcannon","1","勇士","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","Boomcannon","2","勇士MK2","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","Boomcannon","3","勇士MK3","100","40","bullet","追踪、重力、回旋、地面反弹、复合子弹"
"副武器","Goldbanger","1","黄金鞭炮","50","20","bullet",""
"副武器","Goldbanger","2","黄金鞭炮MK2","50","20","bullet",""
"副武器","zhongzifeidan","1","星际雷神","30","12","bullet","追踪、加速/限速"
"副武器","zhongzifeidan","2","星际雷神MK2","30","12","bullet","追踪、加速/限速"
