"类型","家族ID","家族阶段","2.5名称","当前名称","2.5弹速","修改前弹速","修改后弹速","当前家族总阶段数","状态"
"主武器","jumpBullet","1","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","2","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","3","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","4","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","5","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","6","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","7","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","8","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","9","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","10","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","11","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","12","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","13","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","jumpBullet","14","跳跃时的子弹","跳跃时的子弹","10","10","10","14","原本一致"
"主武器","laserPulse","1","传说","传说","30","30","30","4","原本一致"
"主武器","laserPulse","2","奇迹","奇迹","30","30","30","4","原本一致"
"主武器","laserPulse","3","神泣","神泣","30","30","30","4","原本一致"
"主武器","laserPulse","4","惊世","惊世","30","30","30","4","原本一致"
"主武器","lightKnife","1","金色琉璃","金色琉璃","30","30","30","1","原本一致"
"主武器","lightning","1","托尔","托尔","30","30","30","5","原本一致"
"主武器","lightning","2","因陀罗","因陀罗","30","30","30","5","原本一致"
"主武器","lightning","3","宙斯","宙斯","30","30","30","5","原本一致"
"主武器","lightning","4","皮卡丘","皮卡丘","30","30","30","5","原本一致"
"主武器","lightning","5","雷丘","雷丘","30","30","30","5","原本一致"
"主武器","microwave","1","回音","回音","35","35","35","5","原本一致"
"主武器","microwave","2","末日回响","末日回响","35","35","35","5","原本一致"
"主武器","microwave","3","潮信","潮信","35","35","35","5","原本一致"
"主武器","microwave_1","1","微波炮-激光","微波炮-激光",,,,"1","2.5无显式弹速-待处理"
"主武器","moumouGun","1","小小的太阳","小小的太阳","25","25","25","1","原本一致"
"主武器","phaseTransfer","1","风暴","风暴","25","25","25","6","原本一致"
"主武器","phaseTransfer","2","雷霆","雷霆","25","25","25","6","原本一致"
"主武器","plasma","1","希尔文","希尔文","30","30","30","6","原本一致"
"主武器","plasma","2","雷沃汀","雷沃汀","30","30","30","6","原本一致"
"主武器","plasma","3","昆古尼尔","昆古尼尔","30","30","30","6","原本一致"
"主武器","plasma","4","米约尔尼尔","米约尔尼尔","30","30","30","6","原本一致"
"主武器","plasma","5","奥普","奥普","30","30","30","6","原本一致"
"主武器","schoolArms","1","好好学习","蛇蝎座MK1","30","30","30","5","原本一致"
"主武器","shotgun","1","夜叉","夜叉","25","25","25","4","原本一致"
"主武器","shotgun","2","摩呼罗迦","摩呼罗迦","25","25","25","4","原本一致"
"主武器","shotgun","3","阿修罗","阿修罗","25","25","25","4","原本一致"
"主武器","shotgun","4","迦楼罗","迦楼罗","20","25","20","4","已恢复"
"主武器","snow","1","2013","2013","30","30","30","2","原本一致"
"主武器","soya","1","小黄豆","小黄豆","20","20","20","6","原本一致"
"主武器","soya","2","小黄豆Z","小黄豆Z","20","20","20","6","原本一致"
"主武器","soya","3","真·小黄豆Z","真·小黄豆Z","20","20","20","6","原本一致"
"主武器","soya","4","极·小黄豆Z","极·小黄豆Z","20","20","20","6","原本一致"
"主武器","soya","5","大黄豆","大黄豆","20","20","20","6","原本一致"
"主武器","soya","6","巨黄豆","巨黄豆","20","20","20","6","原本一致"
"主武器","wave","1","尖啸","尖啸","25","25","25","4","原本一致"
"主武器","wave","2","狂嗥","狂嗥","25","25","25","4","原本一致"
"主武器","wave","3","怒吼","怒吼","25","25","25","4","原本一致"
"主武器","wave","4","咆哮","咆哮","25","25","25","4","原本一致"
"副武器","banger","1","鞭炮","鞭炮","20","20","20","4","原本一致"
"副武器","blueKnife","1","龙吟","龙吟","30","30","30","1","原本一致"
"副武器","chipped","1","挑战者","挑战者","35","35","35","5","原本一致"
"副武器","chipped","2","粉碎者","粉碎者","35","35","35","5","原本一致"
"副武器","chipped","3","征服者","征服者","35","35","35","5","原本一致"
"副武器","chipped","4","终结者","终结者","35","35","35","5","原本一致"
"副武器","chipped","5","主宰者","主宰者","25","35","25","5","已恢复"
"副武器","cutter","1","黑绳","黑绳","30","30","30","6","原本一致"
"副武器","cutter","2","叫唤","叫唤","30","30","30","6","原本一致"
"副武器","cutter","3","焦热","焦热","30","30","30","6","原本一致"
"副武器","cutter","4","无间","无间","30","30","30","6","原本一致"
"副武器","cutter","5","幽灵","深渊","30","30","30","6","原本一致"
"副武器","cutter_gold","1","黄金无间","黄金深渊","30","30","30","1","原本一致"
"副武器","elastic","1","调皮","调皮","15","15","15","4","原本一致"
"副武器","elastic","2","淘气","淘气","15","15","15","4","原本一致"
"副武器","elastic","3","捣蛋","捣蛋","15","15","15","4","原本一致"
"副武器","elastic","4","顽皮","顽皮","15","15","15","4","原本一致"
"副武器","elecGun","1","电磁炮","电磁炮","40","40","40","4","原本一致"
"副武器","elecGun","2","电磁炮Z","电磁炮Z","40","40","40","4","原本一致"
"副武器","elecGun","3","超电磁炮Z","超电磁炮Z","40","40","40","4","原本一致"
"副武器","elecGun","4","EX·超电磁炮Z","EX超电磁炮Z","40","40","40","4","原本一致"
"副武器","flyBlade","1","恶魔牙","恶魔牙","50","50","50","6","原本一致"
"副武器","flyBlade","2","撒旦之力","撒旦之力","50","50","50","6","原本一致"
"副武器","flyBlade","3","地狱之触","地狱之触","50","50","50","6","原本一致"
"副武器","flyBlade","4","深渊之刃","深渊之刃","50","50","50","6","原本一致"
"副武器","highEnergy","1","星爆","星爆","30","30","30","7","原本一致"
"副武器","highEnergy","2","星陨","星陨","30","30","30","7","原本一致"
"副武器","highEnergy","3","星坠","星坠","30","30","30","7","原本一致"
"副武器","hotline","1","炽天使","炽天使",,,,"5","2.5无显式弹速-待处理"
"副武器","hotline","2","伊夫利特","伊夫利特",,,,"5","2.5无显式弹速-待处理"
"副武器","hotline","3","不死鸟","不死鸟",,,,"5","2.5无显式弹速-待处理"
"副武器","hotline","4","洛基","洛基",,,,"5","2.5无显式弹速-待处理"
"副武器","hotline","5","凤凰","凤凰",,,,"5","2.5无显式弹速-待处理"
"副武器","killPig","1","杀猪刀","杀猪刀","20","20","20","1","原本一致"
"副武器","laser","1","战殇","战殇",,,,"4","2.5无显式弹速-待处理"
"副武器","laser","2","破邪","破邪",,,,"4","2.5无显式弹速-待处理"
"副武器","laser","3","星痕","星痕",,,,"4","2.5无显式弹速-待处理"
"副武器","laser","4","无幻","无幻",,,,"4","2.5无显式弹速-待处理"
"副武器","lightningBall","1","守望者","守望者","10","10","10","5","原本一致"
"副武器","lightningBall","2","捍卫者","捍卫者","10","10","10","5","原本一致"
"副武器","lightningBall","3","驱逐者","驱逐者","10","10","10","5","原本一致"
"副武器","lightningBall","4","审判者","审判者","10","10","10","5","原本一致"
"副武器","lightningBall","5","制裁者","制裁者","10","10","10","5","原本一致"
"副武器","missile","1","响尾蛇","响尾蛇","20","20","20","4","原本一致"
"副武器","missile","2","眼镜蛇","眼镜蛇","20","20","20","4","原本一致"
"副武器","missile","3","巨蝮蛇","巨蝮蛇","20","20","20","4","原本一致"
"副武器","missile","4","八歧大蛇","八歧大蛇","20","20","20","4","原本一致"
"副武器","positron","1","普罗米修斯","普罗米修斯","40","40","40","6","原本一致"
"副武器","positron","2","赫拉克勒斯","赫拉克勒斯","40","40","40","6","原本一致"
"副武器","positron","3","阿喀琉斯","阿喀琉斯","40","40","40","6","原本一致"
"副武器","protonImpact","1","多米诺","多米诺","40","40","40","4","原本一致"
"副武器","protonImpact","2","连锁闪电","连锁闪电","40","40","40","4","原本一致"
"副武器","protonImpact_boom","1","多米诺爆炸","多米诺爆炸","50","50","50","1","原本一致"
"副武器","skullHeads","1","黑寡妇","黑寡妇","30","30","30","1","原本一致"
"副武器","snake","1","银蛇狂舞","银蛇狂舞","30","30","30","2","原本一致"
"副武器","windSword","1","塞巴斯塔","塞巴斯塔","30","30","30","1","原本一致"
